# Adjustments to get protein expression for certain enzymes required for metabolism
"name"	"value"	"units"	"_source"	"_comments"
"ADCLY-MONOMER[c]"	5		"fit_sim_data_1.py"	"pabC, aminodeoxychorismate lyase"
"EG12438-MONOMER[c]"	5		"fit_sim_data_1.py"	"menH, 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthetase"
"EG12298-MONOMER[p]"	5		"fit_sim_data_1.py"	"yibQ, Predicted polysaccharide deacetylase; This RNA is fit for the anaerobic condition viability"
"ACETYL-COA-ACETYLTRANSFER-MONOMER[c]"	5		"fit_sim_data_1.py"	"atoB; This RNA is fit for the anaerobic condition viability"
"AERGLYC3PDEHYDROG-MONOMER[i]"	0.01		"fit_sim_data_1.py"	"Better alignment with ribosome profiling."
"CYOA-MONOMER[i]"	3		"fit_sim_data_1.py"	"Electron transport chain protein. Better alignment with ribosome profiling and copper atom counts per cell."
"CYOB-MONOMER[i]"	3		"fit_sim_data_1.py"	"Electron transport chain protein. Better alignment with ribosome profiling and copper atom counts per cell."
"CYOC-MONOMER[i]"	3		"fit_sim_data_1.py"	"Electron transport chain protein. Better alignment with ribosome profiling and copper atom counts per cell."
"CYOD-MONOMER[i]"	3		"fit_sim_data_1.py"	"Electron transport chain protein. Better alignment with ribosome profiling and copper atom counts per cell."
"HEMEOSYN-MONOMER[i]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"CYSA-MONOMER[i]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"PD00232[c]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"CYSD-MONOMER[c]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOF-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOG-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOH-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOI-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOJ-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOK-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOL-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUOM-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"NUON-MONOMER[m]"	5		"fit_sim_data_1.py"	"Main NADH:quinone oxidoreductase. Better alignment with ribosome profiling"
"HOMOCYSMET-MONOMER[c]"	2		"fit_sim_data_1.py"	"Main methionine synthase when there's no B12. Better alignment with ribosome profiling"
"PGMI-MONOMER[c]"	0.25		"fit_sim_data_1.py"	"Better alignment with ribosome profiling"
"O-SUCCHOMOSERLYASE-MONOMER[c]"	5		"fit_sim_data_1.py"	"metB, necessary for anaerobic methionine biosynthesis and better match experimental counts"
"G7423-MONOMER[c]"	2		"fit_sim_data_1.py"	"ispD, important for anaerobic menaquinone homeostasis (overshoot experimental counts)"
"EG11816-MONOMER[c]"	5		"fit_sim_data_1.py"	"ispF, important for anaerobic menaquinone homeostasis and better match experimental counts"
