# Adjustments to get protein expression for certain enzymes required for metabolism
"name"	"value"	"units"	"_source"	"_comments"
"EG11493_RNA"	10		"fit_sim_data_1.py"	"pabC, aminodeoxychorismate lyase"
"EG12438_RNA"	10		"fit_sim_data_1.py"	"menH, 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthetase"
"EG12298_RNA"	10		"fit_sim_data_1.py"	"yibQ, Predicted polysaccharide deacetylase; This RNA is fit for the anaerobic condition viability"
"EG11672_RNA"	10		"fit_sim_data_1.py"	"atoB, acetyl-CoA acetyltransferase; This RNA is fit for the anaerobic condition viability"
"EG10236_RNA"	10		"fit_sim_data_1.py"	"dnaB, replicative DNA helicase; This RNA is fit for the sims to produce enough DNAPs for timely replication in anaerobic condition"
"EG10238_RNA"	10		"fit_sim_data_1.py"	"dnaE, DNA polymerase III subunit alpha; This RNA is fit for the sims to produce enough DNAPs for timely replication"
"EG11673_RNA"	10		"fit_sim_data_1.py"	"folB, dihydroneopterin aldolase; needed for growth (METHYLENE-THF) in acetate condition"
"EG10808_RNA"	20		"fit_sim_data_1.py"	"pyrE, orotate phosphoribosyltransferase; Needed for UTP synthesis (esp. anaerobic), transcriptional regulation by UTP is not included in the model"
"EG10581_RNA"	10			"metA, homoserine O-succinyltransferase; Met synthesis enzyme with low protein expression on aa_synthesis_enzymes parca analysis plot"
"EG10091_RNA"	10			"asnA, asparagine synthetase A; Asn synthesis enzyme with low protein expression on aa_synthesis_enzymes parca analysis plot"
"G7652_RNA"	50			"ubiU, important for anaerobic ubiquinone homeostasis"
"G7653_RNA"	50			"ubiV, important for anaerobic ubiquinone homeostasis"
"G6196_RNA"	50			"prpB, better match experimental counts and part of same operon as prpC"
"G6198_RNA"	50			"prpC, important under anaerobic conditions and better match experimental counts"
"G6199_RNA"	50			"prpD, better match experimental counts and part of same operon as prpC"
"G6200_RNA"	50			"prpE, part of same operon as prpC"
"EG11672_RNA"	50			"atoB, important for anaerobic acetoacetyl-CoA homeostasis"
"EG11669_RNA"	50			"atoD, important for anaerobic acetoacetyl-CoA homeostasis"
"EG11670_RNA"	50			"atoA, important for anaerobic acetoacetyl-CoA homeostasis"
"EG11671_RNA"	50			"atoE, important for anaerobic acetoacetyl-CoA homeostasis"
"EG10330_RNA"	2			"frdA, important for anaerobic UTP homeostasis"
"EG10331_RNA"	2			"frdB, important for anaerobic UTP homeostasis"
"EG10332_RNA"	2			"frdC, important for anaerobic UTP homeostasis"
"EG10333_RNA"	2			"frdD, important for anaerobic UTP homeostasis"
"EG10234_RNA"	4			"dmsC, important for anaerobic menaquinone homeostasis"
"EG11880_RNA"	20			"menA, important for anaerobic menaquinone homeostasis"
"EG11754_RNA"	4			"setA, important for anaerobic menaquinone homeostasis"
"EG10682_RNA"	2			"pabA, important for anaerobic methylene-THF homeostasis and better match experimental counts"
"G7413_RNA"	4			"norV, important for anaerobic lipid A (CPD0-939) homeostasis"
"EG12450_RNA"	4			"norW, same operon as norV"
"EG11341_RNA"	10			"waaQ, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11423_RNA"	10			"waaU, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11426_RNA"	10			"waaZ, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11425_RNA"	10			"waaY, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11353_RNA"	10			"waaJ, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11352_RNA"	10			"waaO, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11351_RNA"	10			"waaB, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11350_RNA"	10			"waaS, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11340_RNA"	10			"waaP, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11339_RNA"	10			"waaG, waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG12210_RNA"	2			"waaF, another waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11189_RNA"	2			"waaC, another waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
"EG11424_RNA"	2			"waaL, another waa operon important for anaerobic lipid A (CPD0-939) homeostasis"
